,epoch,LR,mAP,Batch_Size
0,1.0,0.0002,0.343,BS_2
1,2.0,0.0002,0.581,BS_2
2,3.0,0.0002,0.646,BS_2
3,4.0,0.0002,0.676,BS_2
4,5.0,0.0002,0.691,BS_2
5,6.0,0.0002,0.692,BS_2
6,7.0,0.0002,0.706,BS_2
7,8.0,0.0002,0.707,BS_2
8,9.0,0.0002,0.711,BS_2
9,10.0,0.0002,0.712,BS_2
10,1.0,0.0002,0.167,BS_4
11,2.0,0.0002,0.322,BS_4
12,3.0,0.0002,0.491,BS_4
13,4.0,0.0002,0.58,BS_4
14,5.0,0.0002,0.619,BS_4
15,6.0,0.0002,0.638,BS_4
16,7.0,0.0002,0.66,BS_4
17,8.0,0.0002,0.664,BS_4
18,9.0,0.0002,0.674,BS_4
19,10.0,0.0002,0.677,BS_4
20,1.0,0.0002,0.001,BS_8
21,2.0,0.0002,0.169,BS_8
22,3.0,0.0002,0.216,BS_8
23,4.0,0.0002,0.291,BS_8
24,5.0,0.0002,0.371,BS_8
25,6.0,0.0002,0.432,BS_8
26,7.0,0.0002,0.502,BS_8
27,8.0,0.0002,0.555,BS_8
28,9.0,0.0002,0.588,BS_8
29,10.0,0.0002,0.619,BS_8
30,1.0,0.001,0.628,BS_2
31,2.0,0.001,0.703,BS_2
32,3.0,0.001,0.703,BS_2
33,4.0,0.001,0.719,BS_2
34,5.0,0.001,0.718,BS_2
35,6.0,0.001,0.744,BS_2
36,7.0,0.001,0.711,BS_2
37,8.0,0.001,0.729,BS_2
38,9.0,0.001,0.736,BS_2
39,10.0,0.001,0.736,BS_2
40,1.0,0.001,0.371,BS_4
41,2.0,0.001,0.646,BS_4
42,3.0,0.001,0.693,BS_4
43,4.0,0.001,0.711,BS_4
44,5.0,0.001,0.719,BS_4
45,6.0,0.001,0.709,BS_4
46,7.0,0.001,0.724,BS_4
47,8.0,0.001,0.728,BS_4
48,9.0,0.001,0.728,BS_4
49,10.0,0.001,0.736,BS_4
50,1.0,0.001,0.156,BS_8
51,2.0,0.001,0.343,BS_8
52,3.0,0.001,0.541,BS_8
53,4.0,0.001,0.641,BS_8
54,5.0,0.001,0.67,BS_8
55,6.0,0.001,0.689,BS_8
56,7.0,0.001,0.698,BS_8
57,8.0,0.001,0.713,BS_8
58,9.0,0.001,0.715,BS_8
59,10.0,0.001,0.714,BS_8
60,1.0,0.005,0.704,BS_2
61,2.0,0.005,0.749,BS_2
62,3.0,0.005,0.737,BS_2
63,4.0,0.005,0.737,BS_2
64,5.0,0.005,0.755,BS_2
65,6.0,0.005,0.738,BS_2
66,7.0,0.005,0.755,BS_2
67,8.0,0.005,0.742,BS_2
68,9.0,0.005,0.754,BS_2
69,10.0,0.005,0.724,BS_2
70,1.0,0.005,0.64,BS_4
71,2.0,0.005,0.721,BS_4
72,3.0,0.005,0.736,BS_4
73,4.0,0.005,0.748,BS_4
74,5.0,0.005,0.714,BS_4
75,6.0,0.005,0.749,BS_4
76,7.0,0.005,0.744,BS_4
77,8.0,0.005,0.739,BS_4
78,9.0,0.005,0.743,BS_4
79,10.0,0.005,0.735,BS_4
80,1.0,0.005,0.353,BS_8
81,2.0,0.005,0.62,BS_8
82,3.0,0.005,0.695,BS_8
