,epoch,LR,mAP,Batch_Size
146,7.0,0.05,0.749,BS_8
147,8.0,0.05,0.738,BS_8
148,9.0,0.05,0.738,BS_8
149,10.0,0.05,0.735,BS_8
150,1.0,4e-05,0.082,BS_2
151,2.0,4e-05,0.243,BS_2
152,3.0,4e-05,0.355,BS_2
153,4.0,4e-05,0.443,BS_2
154,5.0,4e-05,0.508,BS_2
155,6.0,4e-05,0.548,BS_2
156,7.0,4e-05,0.581,BS_2
157,8.0,4e-05,0.596,BS_2
158,9.0,4e-05,0.615,BS_2
159,10.0,4e-05,0.628,BS_2
160,1.0,4e-05,0.0,BS_4
161,2.0,4e-05,0.106,BS_4
162,3.0,4e-05,0.194,BS_4
163,4.0,4e-05,0.236,BS_4
164,5.0,4e-05,0.283,BS_4
165,6.0,4e-05,0.326,BS_4
166,7.0,4e-05,0.367,BS_4
167,8.0,4e-05,0.398,BS_4
168,9.0,4e-05,0.435,BS_4
169,10.0,4e-05,0.464,BS_4
170,1.0,4e-05,0.0,BS_8
171,2.0,4e-05,0.0,BS_8
172,3.0,4e-05,0.007,BS_8
173,4.0,4e-05,0.126,BS_8
174,5.0,4e-05,0.171,BS_8
175,6.0,4e-05,0.192,BS_8
176,7.0,4e-05,0.209,BS_8
177,8.0,4e-05,0.233,BS_8
178,9.0,4e-05,0.259,BS_8
179,10.0,4e-05,0.284,BS_8
