,epoch,LR,mAP,Batch_Size
144,7.0,0.05,0.799,BS_8
145,8.0,0.05,0.807,BS_8
146,9.0,0.05,0.804,BS_8
147,10.0,0.05,0.826,BS_8
148,1.0,4e-05,0.19,BS_2
149,2.0,4e-05,0.363,BS_2
150,3.0,4e-05,0.528,BS_2
151,4.0,4e-05,0.609,BS_2
152,5.0,4e-05,0.657,BS_2
153,6.0,4e-05,0.684,BS_2
154,7.0,4e-05,0.698,BS_2
155,8.0,4e-05,0.708,BS_2
156,9.0,4e-05,0.719,BS_2
157,10.0,4e-05,0.724,BS_2
158,1.0,4e-05,0.034,BS_4
159,2.0,4e-05,0.132,BS_4
160,3.0,4e-05,0.246,BS_4
161,4.0,4e-05,0.342,BS_4
162,5.0,4e-05,0.426,BS_4
163,6.0,4e-05,0.51,BS_4
164,7.0,4e-05,0.557,BS_4
165,8.0,4e-05,0.592,BS_4
166,9.0,4e-05,0.623,BS_4
167,10.0,4e-05,0.643,BS_4
168,1.0,4e-05,0.01,BS_8
169,2.0,4e-05,0.017,BS_8
170,3.0,4e-05,0.075,BS_8
171,4.0,4e-05,0.126,BS_8
172,5.0,4e-05,0.169,BS_8
173,6.0,4e-05,0.24,BS_8
174,7.0,4e-05,0.314,BS_8
175,8.0,4e-05,0.36,BS_8
176,9.0,4e-05,0.4,BS_8
177,10.0,4e-05,0.446,BS_8
