,epoch,LR,mAP,Batch_Size
0,1.0,0.0002,0.444,BS_2
1,2.0,0.0002,0.686,BS_2
2,3.0,0.0002,0.723,BS_2
3,4.0,0.0002,0.737,BS_2
4,5.0,0.0002,0.752,BS_2
5,6.0,0.0002,0.755,BS_2
6,7.0,0.0002,0.762,BS_2
7,8.0,0.0002,0.766,BS_2
8,9.0,0.0002,0.773,BS_2
9,10.0,0.0002,0.777,BS_2
10,1.0,0.0002,0.147,BS_4
11,2.0,0.0002,0.424,BS_4
12,3.0,0.0002,0.644,BS_4
13,4.0,0.0002,0.678,BS_4
14,5.0,0.0002,0.705,BS_4
15,6.0,0.0002,0.719,BS_4
16,7.0,0.0002,0.731,BS_4
17,8.0,0.0002,0.739,BS_4
18,9.0,0.0002,0.748,BS_4
19,10.0,0.0002,0.75,BS_4
20,1.0,0.0002,0.109,BS_5
21,2.0,0.0002,0.321,BS_5
22,3.0,0.0002,0.536,BS_5
23,4.0,0.0002,0.65,BS_5
24,5.0,0.0002,0.69,BS_5
25,6.0,0.0002,0.705,BS_5
26,7.0,0.0002,0.718,BS_5
27,8.0,0.0002,0.729,BS_5
28,9.0,0.0002,0.735,BS_5
29,10.0,0.0002,0.744,BS_5
30,1.0,0.001,0.675,BS_2
31,2.0,0.001,0.761,BS_2
32,3.0,0.001,0.759,BS_2
33,4.0,0.001,0.776,BS_2
34,5.0,0.001,0.784,BS_2
35,6.0,0.001,0.792,BS_2
36,7.0,0.001,0.8,BS_2
37,8.0,0.001,0.803,BS_2
38,9.0,0.001,0.798,BS_2
39,10.0,0.001,0.807,BS_2
40,1.0,0.001,0.471,BS_4
41,2.0,0.001,0.696,BS_4
42,3.0,0.001,0.736,BS_4
43,4.0,0.001,0.76,BS_4
44,5.0,0.001,0.776,BS_4
45,6.0,0.001,0.779,BS_4
46,7.0,0.001,0.785,BS_4
47,8.0,0.001,0.784,BS_4
48,9.0,0.001,0.79,BS_4
49,10.0,0.001,0.795,BS_4
50,1.0,0.001,0.33,BS_5
51,2.0,0.001,0.673,BS_5
52,3.0,0.001,0.725,BS_5
53,4.0,0.001,0.749,BS_5
54,5.0,0.001,0.754,BS_5
55,6.0,0.001,0.771,BS_5
56,7.0,0.001,0.77,BS_5
57,8.0,0.001,0.773,BS_5
58,9.0,0.001,0.781,BS_5
59,10.0,0.001,0.78,BS_5
60,1.0,0.005,0.746,BS_2
61,2.0,0.005,0.779,BS_2
62,3.0,0.005,0.789,BS_2
63,4.0,0.005,0.79,BS_2
64,5.0,0.005,0.797,BS_2
65,6.0,0.005,0.809,BS_2
66,7.0,0.005,0.817,BS_2
67,8.0,0.005,0.815,BS_2
68,9.0,0.005,0.823,BS_2
69,10.0,0.005,0.812,BS_2
70,1.0,0.005,0.704,BS_4
71,2.0,0.005,0.751,BS_4
72,3.0,0.005,0.775,BS_4
73,4.0,0.005,0.788,BS_4
74,5.0,0.005,0.795,BS_4
75,6.0,0.005,0.807,BS_4
76,7.0,0.005,0.802,BS_4
77,8.0,0.005,0.808,BS_4
78,9.0,0.005,0.821,BS_4
79,10.0,0.005,0.813,BS_4
80,1.0,0.005,0.638,BS_5
81,2.0,0.005,0.748,BS_5
82,3.0,0.005,0.761,BS_5
83,4.0,0.005,0.787,BS_5
84,5.0,0.005,0.796,BS_5
85,6.0,0.005,0.797,BS_5
86,7.0,0.005,0.809,BS_5
87,8.0,0.005,0.795,BS_5
88,9.0,0.005,0.81,BS_5
89,10.0,0.005,0.81,BS_5
90,1.0,0.01,0.697,BS_2
91,2.0,0.01,0.772,BS_2
92,3.0,0.01,0.789,BS_2
93,4.0,0.01,0.802,BS_2
94,5.0,0.01,0.781,BS_2
95,6.0,0.01,0.767,BS_2
96,7.0,0.01,0.819,BS_2
97,8.0,0.01,0.813,BS_2
98,9.0,0.01,0.798,BS_2
99,10.0,0.01,0.811,BS_2
100,1.0,0.01,0.721,BS_4
101,2.0,0.01,0.775,BS_4
102,3.0,0.01,0.783,BS_4
103,4.0,0.01,0.785,BS_4
104,5.0,0.01,0.801,BS_4
105,6.0,0.01,0.803,BS_4
106,7.0,0.01,0.805,BS_4
107,8.0,0.01,0.808,BS_4
108,9.0,0.01,0.812,BS_4
109,10.0,0.01,0.809,BS_4
110,1.0,0.01,0.717,BS_5
111,2.0,0.01,0.757,BS_5
112,3.0,0.01,0.787,BS_5
113,4.0,0.01,0.79,BS_5
114,5.0,0.01,0.788,BS_5
115,6.0,0.01,0.799,BS_5
116,7.0,0.01,0.798,BS_5
117,8.0,0.01,0.808,BS_5
118,9.0,0.01,0.807,BS_5
119,10.0,0.01,0.817,BS_5
120,1.0,0.05,0.723,BS_4
121,2.0,0.05,0.718,BS_4
122,3.0,0.05,0.744,BS_4
123,4.0,0.05,0.765,BS_4
124,5.0,0.05,0.753,BS_4
125,6.0,0.05,0.772,BS_4
126,7.0,0.05,0.787,BS_4
127,8.0,0.05,0.782,BS_4
128,9.0,0.05,0.783,BS_4
129,10.0,0.05,0.798,BS_4
130,1.0,0.05,0.729,BS_5
131,2.0,0.05,0.711,BS_5
132,3.0,0.05,0.714,BS_5
133,4.0,0.05,0.749,BS_5
134,5.0,0.05,0.76,BS_5
135,6.0,0.05,0.763,BS_5
136,7.0,0.05,0.78,BS_5
137,8.0,0.05,0.778,BS_5
138,9.0,0.05,0.791,BS_5
139,10.0,0.05,0.783,BS_5
140,1.0,4e-05,0.118,BS_2
141,2.0,4e-05,0.251,BS_2
142,3.0,4e-05,0.431,BS_2
143,4.0,4e-05,0.562,BS_2
144,5.0,4e-05,0.623,BS_2
145,6.0,4e-05,0.663,BS_2
146,7.0,4e-05,0.68,BS_2
147,8.0,4e-05,0.694,BS_2
148,9.0,4e-05,0.709,BS_2
149,10.0,4e-05,0.717,BS_2
150,1.0,4e-05,0.055,BS_4
151,2.0,4e-05,0.165,BS_4
152,3.0,4e-05,0.233,BS_4
153,4.0,4e-05,0.316,BS_4
154,5.0,4e-05,0.384,BS_4
155,6.0,4e-05,0.472,BS_4
156,7.0,4e-05,0.543,BS_4
157,8.0,4e-05,0.592,BS_4
158,9.0,4e-05,0.615,BS_4
159,10.0,4e-05,0.636,BS_4
160,1.0,4e-05,0.022,BS_5
161,2.0,4e-05,0.095,BS_5
162,3.0,4e-05,0.206,BS_5
163,4.0,4e-05,0.309,BS_5
164,5.0,4e-05,0.364,BS_5
165,6.0,4e-05,0.41,BS_5
166,7.0,4e-05,0.477,BS_5
167,8.0,4e-05,0.536,BS_5
168,9.0,4e-05,0.573,BS_5
169,10.0,4e-05,0.601,BS_5
