,epoch,LR,mAP,Batch_Size
0,1.0,0.0002,0.405,BS_2
1,2.0,0.0002,0.687,BS_2
2,3.0,0.0002,0.721,BS_2
3,4.0,0.0002,0.737,BS_2
4,5.0,0.0002,0.751,BS_2
5,6.0,0.0002,0.752,BS_2
6,7.0,0.0002,0.763,BS_2
7,8.0,0.0002,0.77,BS_2
8,9.0,0.0002,0.775,BS_2
9,10.0,0.0002,0.775,BS_2
10,1.0,0.0002,0.19,BS_4
11,2.0,0.0002,0.395,BS_4
12,3.0,0.0002,0.6,BS_4
13,4.0,0.0002,0.684,BS_4
14,5.0,0.0002,0.713,BS_4
15,6.0,0.0002,0.726,BS_4
16,7.0,0.0002,0.737,BS_4
17,8.0,0.0002,0.745,BS_4
18,9.0,0.0002,0.751,BS_4
19,10.0,0.0002,0.757,BS_4
20,1.0,0.0002,0.113,BS_8
21,2.0,0.0002,0.204,BS_8
22,3.0,0.0002,0.305,BS_8
23,4.0,0.0002,0.408,BS_8
24,5.0,0.0002,0.531,BS_8
25,6.0,0.0002,0.613,BS_8
26,7.0,0.0002,0.663,BS_8
27,8.0,0.0002,0.685,BS_8
28,9.0,0.0002,0.702,BS_8
29,10.0,0.0002,0.713,BS_8
30,1.0,0.001,0.705,BS_2
31,2.0,0.001,0.741,BS_2
32,3.0,0.001,0.769,BS_2
33,4.0,0.001,0.781,BS_2
34,5.0,0.001,0.793,BS_2
35,6.0,0.001,0.792,BS_2
36,7.0,0.001,0.8,BS_2
37,8.0,0.001,0.795,BS_2
38,9.0,0.001,0.809,BS_2
39,10.0,0.001,0.805,BS_2
40,1.0,0.001,0.444,BS_4
41,2.0,0.001,0.712,BS_4
42,3.0,0.001,0.752,BS_4
43,4.0,0.001,0.766,BS_4
44,5.0,0.001,0.772,BS_4
45,6.0,0.001,0.78,BS_4
46,7.0,0.001,0.781,BS_4
47,8.0,0.001,0.786,BS_4
48,9.0,0.001,0.793,BS_4
49,10.0,0.001,0.793,BS_4
50,1.0,0.001,0.228,BS_8
51,2.0,0.001,0.415,BS_8
52,3.0,0.001,0.634,BS_8
53,4.0,0.001,0.716,BS_8
54,5.0,0.001,0.736,BS_8
55,6.0,0.001,0.757,BS_8
56,7.0,0.001,0.758,BS_8
57,8.0,0.001,0.768,BS_8
58,9.0,0.001,0.775,BS_8
59,10.0,0.001,0.776,BS_8
60,1.0,0.005,0.746,BS_2
61,2.0,0.005,0.795,BS_2
62,3.0,0.005,0.797,BS_2
63,4.0,0.005,0.798,BS_2
64,5.0,0.005,0.804,BS_2
65,6.0,0.005,0.802,BS_2
66,7.0,0.005,0.811,BS_2
67,8.0,0.005,0.808,BS_2
68,9.0,0.005,0.813,BS_2
69,10.0,0.005,0.808,BS_2
70,1.0,0.005,0.712,BS_4
71,2.0,0.005,0.763,BS_4
72,3.0,0.005,0.784,BS_4
73,4.0,0.005,0.791,BS_4
74,5.0,0.005,0.798,BS_4
75,6.0,0.005,0.81,BS_4
76,7.0,0.005,0.809,BS_4
77,8.0,0.005,0.801,BS_4
78,9.0,0.005,0.808,BS_4
79,10.0,0.005,0.81,BS_4
80,1.0,0.005,0.438,BS_8
81,2.0,0.005,0.725,BS_8
82,3.0,0.005,0.748,BS_8
83,4.0,0.005,0.764,BS_8
84,5.0,0.005,0.781,BS_8
85,6.0,0.005,0.791,BS_8
86,7.0,0.005,0.788,BS_8
87,8.0,0.005,0.806,BS_8
88,9.0,0.005,0.799,BS_8
89,10.0,0.005,0.811,BS_8
90,1.0,0.01,0.752,BS_2
91,2.0,0.01,0.767,BS_2
92,3.0,0.01,0.789,BS_2
93,4.0,0.01,0.798,BS_2
94,5.0,0.01,0.805,BS_2
95,6.0,0.01,0.806,BS_2
96,7.0,0.01,0.812,BS_2
97,8.0,0.01,0.805,BS_2
98,9.0,0.01,0.817,BS_2
99,10.0,0.01,0.817,BS_2
100,1.0,0.01,0.734,BS_4
101,2.0,0.01,0.781,BS_4
102,3.0,0.01,0.787,BS_4
103,4.0,0.01,0.793,BS_4
104,5.0,0.01,0.81,BS_4
105,6.0,0.01,0.815,BS_4
106,7.0,0.01,0.813,BS_4
107,8.0,0.01,0.815,BS_4
108,9.0,0.01,0.814,BS_4
109,10.0,0.01,0.814,BS_4
110,1.0,0.01,0.604,BS_8
111,2.0,0.01,0.733,BS_8
112,3.0,0.01,0.768,BS_8
113,4.0,0.01,0.762,BS_8
114,5.0,0.01,0.791,BS_8
115,6.0,0.01,0.791,BS_8
116,7.0,0.01,0.796,BS_8
117,8.0,0.01,0.8,BS_8
118,9.0,0.01,0.804,BS_8
119,10.0,0.01,0.807,BS_8
120,1.0,0.05,0.696,BS_2
121,2.0,0.05,0.741,BS_2
122,3.0,0.05,0.763,BS_2
123,4.0,0.05,0.749,BS_2
124,5.0,0.05,0.78,BS_2
125,6.0,0.05,0.785,BS_2
126,7.0,0.05,0.791,BS_2
127,8.0,0.05,0.8,BS_2
128,9.0,0.05,0.791,BS_2
129,10.0,0.05,0.794,BS_2
130,1.0,0.05,0.746,BS_4
131,2.0,0.05,0.731,BS_4
132,3.0,0.05,0.786,BS_4
133,4.0,0.05,0.792,BS_4
134,5.0,0.05,0.807,BS_4
135,6.0,0.05,0.799,BS_4
136,7.0,0.05,0.803,BS_4
137,8.0,0.05,0.792,BS_4
138,9.0,0.05,0.8,BS_4
139,10.0,0.05,0.78,BS_4
140,1.0,0.05,0.733,BS_8
141,2.0,0.05,0.748,BS_8
142,3.0,0.05,0.769,BS_8
143,4.0,0.05,0.779,BS_8
144,5.0,0.05,0.794,BS_8
145,6.0,0.05,0.789,BS_8
146,7.0,0.05,0.803,BS_8
147,8.0,0.05,0.805,BS_8
148,9.0,0.05,0.814,BS_8
149,10.0,0.05,0.817,BS_8
150,1.0,4e-05,0.171,BS_2
151,2.0,4e-05,0.322,BS_2
152,3.0,4e-05,0.451,BS_2
153,4.0,4e-05,0.545,BS_2
154,5.0,4e-05,0.604,BS_2
155,6.0,4e-05,0.65,BS_2
156,7.0,4e-05,0.677,BS_2
157,8.0,4e-05,0.696,BS_2
158,9.0,4e-05,0.705,BS_2
159,10.0,4e-05,0.712,BS_2
160,1.0,4e-05,0.057,BS_4
161,2.0,4e-05,0.193,BS_4
162,3.0,4e-05,0.272,BS_4
163,4.0,4e-05,0.341,BS_4
164,5.0,4e-05,0.4,BS_4
165,6.0,4e-05,0.467,BS_4
166,7.0,4e-05,0.52,BS_4
167,8.0,4e-05,0.563,BS_4
168,9.0,4e-05,0.6,BS_4
169,10.0,4e-05,0.629,BS_4
170,1.0,4e-05,0.07,BS_8
171,2.0,4e-05,0.081,BS_8
172,3.0,4e-05,0.123,BS_8
173,4.0,4e-05,0.174,BS_8
174,5.0,4e-05,0.217,BS_8
175,6.0,4e-05,0.254,BS_8
176,7.0,4e-05,0.288,BS_8
177,8.0,4e-05,0.32,BS_8
178,9.0,4e-05,0.351,BS_8
179,10.0,4e-05,0.382,BS_8
