,epoch,LR,mAP,Batch_Size
0,1.0,0.0002,0.348,BS_2
1,2.0,0.0002,0.642,BS_2
2,3.0,0.0002,0.702,BS_2
3,4.0,0.0002,0.72,BS_2
4,5.0,0.0002,0.733,BS_2
5,6.0,0.0002,0.75,BS_2
6,7.0,0.0002,0.757,BS_2
7,8.0,0.0002,0.759,BS_2
8,9.0,0.0002,0.764,BS_2
9,10.0,0.0002,0.761,BS_2
10,1.0,0.0002,0.15,BS_4
11,2.0,0.0002,0.367,BS_4
12,3.0,0.0002,0.576,BS_4
13,4.0,0.0002,0.662,BS_4
14,5.0,0.0002,0.694,BS_4
15,6.0,0.0002,0.707,BS_4
16,7.0,0.0002,0.72,BS_4
17,8.0,0.0002,0.73,BS_4
18,9.0,0.0002,0.737,BS_4
19,10.0,0.0002,0.737,BS_4
20,1.0,0.0002,0.086,BS_8
21,2.0,0.0002,0.16,BS_8
22,3.0,0.0002,0.23,BS_8
23,4.0,0.0002,0.375,BS_8
24,5.0,0.0002,0.525,BS_8
25,6.0,0.0002,0.605,BS_8
26,7.0,0.0002,0.642,BS_8
27,8.0,0.0002,0.664,BS_8
28,9.0,0.0002,0.68,BS_8
29,10.0,0.0002,0.691,BS_8
30,1.0,0.001,0.662,BS_2
31,2.0,0.001,0.737,BS_2
32,3.0,0.001,0.763,BS_2
33,4.0,0.001,0.774,BS_2
34,5.0,0.001,0.785,BS_2
35,6.0,0.001,0.784,BS_2
36,7.0,0.001,0.79,BS_2
37,8.0,0.001,0.795,BS_2
38,9.0,0.001,0.793,BS_2
39,10.0,0.001,0.802,BS_2
40,1.0,0.001,0.389,BS_4
41,2.0,0.001,0.69,BS_4
42,3.0,0.001,0.739,BS_4
43,4.0,0.001,0.753,BS_4
44,5.0,0.001,0.764,BS_4
45,6.0,0.001,0.776,BS_4
46,7.0,0.001,0.776,BS_4
47,8.0,0.001,0.785,BS_4
48,9.0,0.001,0.794,BS_4
49,10.0,0.001,0.791,BS_4
50,1.0,0.001,0.125,BS_8
51,2.0,0.001,0.328,BS_8
52,3.0,0.001,0.596,BS_8
53,4.0,0.001,0.692,BS_8
54,5.0,0.001,0.725,BS_8
55,6.0,0.001,0.742,BS_8
56,7.0,0.001,0.748,BS_8
57,8.0,0.001,0.753,BS_8
58,9.0,0.001,0.764,BS_8
59,10.0,0.001,0.769,BS_8
60,1.0,0.005,0.729,BS_2
61,2.0,0.005,0.775,BS_2
62,3.0,0.005,0.773,BS_2
63,4.0,0.005,0.804,BS_2
64,5.0,0.005,0.794,BS_2
65,6.0,0.005,0.806,BS_2
66,7.0,0.005,0.804,BS_2
67,8.0,0.005,0.806,BS_2
68,9.0,0.005,0.817,BS_2
69,10.0,0.005,0.81,BS_2
70,1.0,0.005,0.7,BS_4
71,2.0,0.005,0.752,BS_4
72,3.0,0.005,0.782,BS_4
73,4.0,0.005,0.794,BS_4
74,5.0,0.005,0.802,BS_4
75,6.0,0.005,0.804,BS_4
76,7.0,0.005,0.808,BS_4
77,8.0,0.005,0.808,BS_4
78,9.0,0.005,0.812,BS_4
79,10.0,0.005,0.814,BS_4
80,1.0,0.005,0.378,BS_8
81,2.0,0.005,0.7,BS_8
82,3.0,0.005,0.747,BS_8
83,4.0,0.005,0.768,BS_8
84,5.0,0.005,0.765,BS_8
85,6.0,0.005,0.779,BS_8
86,7.0,0.005,0.787,BS_8
87,8.0,0.005,0.792,BS_8
88,9.0,0.005,0.799,BS_8
89,10.0,0.005,0.795,BS_8
90,1.0,0.01,0.743,BS_2
91,2.0,0.01,0.778,BS_2
92,3.0,0.01,0.779,BS_2
93,4.0,0.01,0.78,BS_2
94,5.0,0.01,0.774,BS_2
95,6.0,0.01,0.797,BS_2
96,7.0,0.01,0.811,BS_2
97,8.0,0.01,0.805,BS_2
98,9.0,0.01,0.805,BS_2
99,10.0,0.01,0.814,BS_2
100,1.0,0.01,0.715,BS_4
101,2.0,0.01,0.759,BS_4
102,3.0,0.01,0.783,BS_4
103,4.0,0.01,0.799,BS_4
104,5.0,0.01,0.803,BS_4
105,6.0,0.01,0.801,BS_4
106,7.0,0.01,0.801,BS_4
107,8.0,0.01,0.793,BS_4
108,9.0,0.01,0.803,BS_4
109,10.0,0.01,0.821,BS_4
110,1.0,0.01,0.486,BS_8
111,2.0,0.01,0.732,BS_8
112,3.0,0.01,0.754,BS_8
113,4.0,0.01,0.768,BS_8
114,5.0,0.01,0.779,BS_8
115,6.0,0.01,0.782,BS_8
116,7.0,0.01,0.805,BS_8
117,8.0,0.01,0.806,BS_8
118,9.0,0.01,0.802,BS_8
119,10.0,0.01,0.81,BS_8
120,1.0,0.05,0.705,BS_4
121,2.0,0.05,0.733,BS_4
122,3.0,0.05,0.747,BS_4
123,4.0,0.05,0.765,BS_4
124,5.0,0.05,0.772,BS_4
125,6.0,0.05,0.775,BS_4
126,7.0,0.05,0.778,BS_4
127,8.0,0.05,0.779,BS_4
128,9.0,0.05,0.774,BS_4
129,10.0,0.05,0.79,BS_4
130,1.0,0.05,0.653,BS_8
131,2.0,0.05,0.76,BS_8
132,3.0,0.05,0.773,BS_8
133,4.0,0.05,0.738,BS_8
134,5.0,0.05,0.773,BS_8
135,6.0,0.05,0.786,BS_8
136,7.0,0.05,0.808,BS_8
137,8.0,0.05,0.808,BS_8
138,9.0,0.05,0.809,BS_8
139,10.0,0.05,0.808,BS_8
140,1.0,4e-05,0.091,BS_2
141,2.0,4e-05,0.196,BS_2
142,3.0,4e-05,0.37,BS_2
143,4.0,4e-05,0.469,BS_2
144,5.0,4e-05,0.549,BS_2
145,6.0,4e-05,0.608,BS_2
146,7.0,4e-05,0.642,BS_2
147,8.0,4e-05,0.663,BS_2
148,9.0,4e-05,0.678,BS_2
149,10.0,4e-05,0.69,BS_2
150,1.0,4e-05,0.021,BS_4
151,2.0,4e-05,0.1,BS_4
152,3.0,4e-05,0.154,BS_4
153,4.0,4e-05,0.229,BS_4
154,5.0,4e-05,0.319,BS_4
155,6.0,4e-05,0.375,BS_4
156,7.0,4e-05,0.426,BS_4
157,8.0,4e-05,0.48,BS_4
158,9.0,4e-05,0.535,BS_4
159,10.0,4e-05,0.567,BS_4
160,1.0,4e-05,0.021,BS_8
161,2.0,4e-05,0.025,BS_8
162,3.0,4e-05,0.062,BS_8
163,4.0,4e-05,0.125,BS_8
164,5.0,4e-05,0.156,BS_8
165,6.0,4e-05,0.167,BS_8
166,7.0,4e-05,0.199,BS_8
167,8.0,4e-05,0.255,BS_8
168,9.0,4e-05,0.306,BS_8
169,10.0,4e-05,0.342,BS_8
