,epoch,LR,mAP,Batch_Size
131,2.0,0.05,0.737,BS_4
132,3.0,0.05,0.788,BS_4
133,4.0,0.05,0.794,BS_4
134,5.0,0.05,0.79,BS_4
135,6.0,0.05,0.797,BS_4
136,7.0,0.05,0.808,BS_4
137,8.0,0.05,0.82,BS_4
138,9.0,0.05,0.809,BS_4
139,10.0,0.05,0.821,BS_4
140,1.0,0.05,0.708,BS_8
141,2.0,0.05,0.776,BS_8
142,3.0,0.05,0.785,BS_8
143,4.0,0.05,0.775,BS_8
144,5.0,0.05,0.799,BS_8
145,6.0,0.05,0.808,BS_8
146,7.0,0.05,0.802,BS_8
147,8.0,0.05,0.813,BS_8
148,9.0,0.05,0.808,BS_8
149,10.0,0.05,0.819,BS_8
150,1.0,4e-05,0.202,BS_2
151,2.0,4e-05,0.354,BS_2
152,3.0,4e-05,0.531,BS_2
153,4.0,4e-05,0.612,BS_2
154,5.0,4e-05,0.658,BS_2
155,6.0,4e-05,0.678,BS_2
156,7.0,4e-05,0.696,BS_2
157,8.0,4e-05,0.709,BS_2
158,9.0,4e-05,0.717,BS_2
159,10.0,4e-05,0.724,BS_2
160,1.0,4e-05,0.056,BS_4
161,2.0,4e-05,0.154,BS_4
162,3.0,4e-05,0.256,BS_4
163,4.0,4e-05,0.344,BS_4
164,5.0,4e-05,0.427,BS_4
165,6.0,4e-05,0.516,BS_4
166,7.0,4e-05,0.573,BS_4
167,8.0,4e-05,0.611,BS_4
168,9.0,4e-05,0.639,BS_4
169,10.0,4e-05,0.658,BS_4
170,1.0,4e-05,0.009,BS_8
171,2.0,4e-05,0.037,BS_8
172,3.0,4e-05,0.132,BS_8
173,4.0,4e-05,0.183,BS_8
174,5.0,4e-05,0.227,BS_8
175,6.0,4e-05,0.274,BS_8
176,7.0,4e-05,0.312,BS_8
177,8.0,4e-05,0.351,BS_8
178,9.0,4e-05,0.396,BS_8
179,10.0,4e-05,0.447,BS_8
