,epoch,LR,mAP,Batch_Size
0,1.0,0.0002,0.324,BS_2
1,2.0,0.0002,0.535,BS_2
2,3.0,0.0002,0.637,BS_2
3,4.0,0.0002,0.664,BS_2
4,5.0,0.0002,0.674,BS_2
5,6.0,0.0002,0.687,BS_2
6,7.0,0.0002,0.683,BS_2
7,8.0,0.0002,0.695,BS_2
8,9.0,0.0002,0.697,BS_2
9,10.0,0.0002,0.706,BS_2
10,1.0,0.0002,0.165,BS_4
11,2.0,0.0002,0.262,BS_4
12,3.0,0.0002,0.429,BS_4
13,4.0,0.0002,0.552,BS_4
14,5.0,0.0002,0.605,BS_4
15,6.0,0.0002,0.635,BS_4
16,7.0,0.0002,0.645,BS_4
17,8.0,0.0002,0.658,BS_4
18,9.0,0.0002,0.667,BS_4
19,10.0,0.0002,0.677,BS_4
20,1.0,0.0002,0.0,BS_8
21,2.0,0.0002,0.154,BS_8
22,3.0,0.0002,0.246,BS_8
23,4.0,0.0002,0.334,BS_8
24,5.0,0.0002,0.405,BS_8
25,6.0,0.0002,0.484,BS_8
26,7.0,0.0002,0.537,BS_8
27,8.0,0.0002,0.574,BS_8
28,9.0,0.0002,0.59,BS_8
29,10.0,0.0002,0.607,BS_8
30,1.0,0.001,0.611,BS_2
31,2.0,0.001,0.691,BS_2
32,3.0,0.001,0.717,BS_2
33,4.0,0.001,0.712,BS_2
34,5.0,0.001,0.707,BS_2
35,6.0,0.001,0.71,BS_2
36,7.0,0.001,0.718,BS_2
37,8.0,0.001,0.732,BS_2
38,9.0,0.001,0.715,BS_2
39,10.0,0.001,0.732,BS_2
40,1.0,0.001,0.343,BS_4
41,2.0,0.001,0.612,BS_4
42,3.0,0.001,0.668,BS_4
43,4.0,0.001,0.691,BS_4
44,5.0,0.001,0.705,BS_4
45,6.0,0.001,0.707,BS_4
46,7.0,0.001,0.715,BS_4
47,8.0,0.001,0.723,BS_4
48,9.0,0.001,0.724,BS_4
49,10.0,0.001,0.715,BS_4
50,1.0,0.001,0.174,BS_8
51,2.0,0.001,0.34,BS_8
52,3.0,0.001,0.554,BS_8
53,4.0,0.001,0.619,BS_8
54,5.0,0.001,0.66,BS_8
55,6.0,0.001,0.676,BS_8
56,7.0,0.001,0.699,BS_8
57,8.0,0.001,0.694,BS_8
58,9.0,0.001,0.695,BS_8
59,10.0,0.001,0.697,BS_8
60,1.0,0.005,0.708,BS_2
61,2.0,0.005,0.747,BS_2
62,3.0,0.005,0.742,BS_2
63,4.0,0.005,0.741,BS_2
64,5.0,0.005,0.734,BS_2
65,6.0,0.005,0.743,BS_2
66,7.0,0.005,0.731,BS_2
67,8.0,0.005,0.752,BS_2
68,9.0,0.005,0.747,BS_2
69,10.0,0.005,0.746,BS_2
70,1.0,0.005,0.596,BS_4
71,2.0,0.005,0.68,BS_4
72,3.0,0.005,0.708,BS_4
73,4.0,0.005,0.719,BS_4
74,5.0,0.005,0.733,BS_4
75,6.0,0.005,0.73,BS_4
76,7.0,0.005,0.736,BS_4
77,8.0,0.005,0.738,BS_4
78,9.0,0.005,0.729,BS_4
79,10.0,0.005,0.744,BS_4
80,1.0,0.005,0.354,BS_8
