,epoch,LR,mAP,Batch_Size
0,1.0,0.0002,0.422,BS_2
1,2.0,0.0002,0.645,BS_2
2,3.0,0.0002,0.664,BS_2
3,4.0,0.0002,0.688,BS_2
4,5.0,0.0002,0.693,BS_2
5,6.0,0.0002,0.696,BS_2
6,7.0,0.0002,0.717,BS_2
7,8.0,0.0002,0.712,BS_2
8,9.0,0.0002,0.714,BS_2
9,10.0,0.0002,0.714,BS_2
10,1.0,0.0002,0.207,BS_4
11,2.0,0.0002,0.442,BS_4
12,3.0,0.0002,0.601,BS_4
13,4.0,0.0002,0.633,BS_4
14,5.0,0.0002,0.654,BS_4
15,6.0,0.0002,0.663,BS_4
16,7.0,0.0002,0.685,BS_4
17,8.0,0.0002,0.691,BS_4
18,9.0,0.0002,0.689,BS_4
19,10.0,0.0002,0.686,BS_4
20,1.0,0.0002,0.115,BS_8
21,2.0,0.0002,0.211,BS_8
22,3.0,0.0002,0.303,BS_8
23,4.0,0.0002,0.412,BS_8
24,5.0,0.0002,0.508,BS_8
25,6.0,0.0002,0.591,BS_8
26,7.0,0.0002,0.625,BS_8
27,8.0,0.0002,0.638,BS_8
28,9.0,0.0002,0.639,BS_8
29,10.0,0.0002,0.64,BS_8
30,1.0,0.001,0.644,BS_2
31,2.0,0.001,0.695,BS_2
32,3.0,0.001,0.727,BS_2
33,4.0,0.001,0.717,BS_2
34,5.0,0.001,0.726,BS_2
35,6.0,0.001,0.724,BS_2
36,7.0,0.001,0.704,BS_2
37,8.0,0.001,0.735,BS_2
38,9.0,0.001,0.749,BS_2
39,10.0,0.001,0.748,BS_2
40,1.0,0.001,0.477,BS_4
41,2.0,0.001,0.667,BS_4
42,3.0,0.001,0.688,BS_4
43,4.0,0.001,0.702,BS_4
44,5.0,0.001,0.714,BS_4
45,6.0,0.001,0.712,BS_4
46,7.0,0.001,0.713,BS_4
47,8.0,0.001,0.714,BS_4
48,9.0,0.001,0.734,BS_4
49,10.0,0.001,0.732,BS_4
50,1.0,0.001,0.223,BS_8
51,2.0,0.001,0.451,BS_8
52,3.0,0.001,0.621,BS_8
53,4.0,0.001,0.662,BS_8
54,5.0,0.001,0.684,BS_8
55,6.0,0.001,0.694,BS_8
56,7.0,0.001,0.705,BS_8
57,8.0,0.001,0.702,BS_8
58,9.0,0.001,0.71,BS_8
59,10.0,0.001,0.715,BS_8
60,1.0,0.005,0.686,BS_2
61,2.0,0.005,0.716,BS_2
62,3.0,0.005,0.713,BS_2
63,4.0,0.005,0.744,BS_2
64,5.0,0.005,0.739,BS_2
65,6.0,0.005,0.749,BS_2
66,7.0,0.005,0.754,BS_2
67,8.0,0.005,0.749,BS_2
68,9.0,0.005,0.763,BS_2
69,10.0,0.005,0.766,BS_2
70,1.0,0.005,0.634,BS_4
71,2.0,0.005,0.714,BS_4
72,3.0,0.005,0.74,BS_4
73,4.0,0.005,0.736,BS_4
74,5.0,0.005,0.729,BS_4
75,6.0,0.005,0.735,BS_4
76,7.0,0.005,0.736,BS_4
77,8.0,0.005,0.755,BS_4
78,9.0,0.005,0.76,BS_4
79,10.0,0.005,0.761,BS_4
80,1.0,0.005,0.398,BS_8
81,2.0,0.005,0.668,BS_8
82,3.0,0.005,0.695,BS_8
83,4.0,0.005,0.695,BS_8
84,5.0,0.005,0.725,BS_8
85,6.0,0.005,0.74,BS_8
86,7.0,0.005,0.734,BS_8
87,8.0,0.005,0.724,BS_8
88,9.0,0.005,0.749,BS_8
89,10.0,0.005,0.748,BS_8
90,1.0,0.01,0.687,BS_2
91,2.0,0.01,0.7,BS_2
92,3.0,0.01,0.737,BS_2
93,4.0,0.01,0.75,BS_2
94,5.0,0.01,0.744,BS_2
95,6.0,0.01,0.75,BS_2
96,7.0,0.01,0.758,BS_2
97,8.0,0.01,0.75,BS_2
98,9.0,0.01,0.765,BS_2
99,10.0,0.01,0.769,BS_2
100,1.0,0.01,0.682,BS_4
101,2.0,0.01,0.724,BS_4
102,3.0,0.01,0.738,BS_4
103,4.0,0.01,0.731,BS_4
104,5.0,0.01,0.728,BS_4
105,6.0,0.01,0.758,BS_4
106,7.0,0.01,0.749,BS_4
107,8.0,0.01,0.729,BS_4
108,9.0,0.01,0.765,BS_4
109,10.0,0.01,0.763,BS_4
110,1.0,0.01,0.586,BS_8
111,2.0,0.01,0.697,BS_8
112,3.0,0.01,0.696,BS_8
113,4.0,0.01,0.72,BS_8
114,5.0,0.01,0.73,BS_8
115,6.0,0.01,0.726,BS_8
116,7.0,0.01,0.738,BS_8
117,8.0,0.01,0.759,BS_8
118,9.0,0.01,0.758,BS_8
119,10.0,0.01,0.762,BS_8
120,1.0,0.05,0.682,BS_2
121,2.0,0.05,0.69,BS_2
122,3.0,0.05,0.706,BS_2
123,4.0,0.05,0.713,BS_2
