,epoch,LR,mAP,Batch_Size
126,7.0,0.05,0.747,BS_4
127,8.0,0.05,0.768,BS_4
128,9.0,0.05,0.779,BS_4
129,10.0,0.05,0.794,BS_4
130,1.0,0.05,0.712,BS_8
131,2.0,0.05,0.762,BS_8
132,3.0,0.05,0.764,BS_8
133,4.0,0.05,0.777,BS_8
134,5.0,0.05,0.74,BS_8
135,6.0,0.05,0.788,BS_8
136,7.0,0.05,0.785,BS_8
137,8.0,0.05,0.773,BS_8
138,9.0,0.05,0.782,BS_8
139,10.0,0.05,0.801,BS_8
140,1.0,4e-05,0.157,BS_2
141,2.0,4e-05,0.307,BS_2
142,3.0,4e-05,0.451,BS_2
143,4.0,4e-05,0.56,BS_2
144,5.0,4e-05,0.626,BS_2
145,6.0,4e-05,0.657,BS_2
146,7.0,4e-05,0.679,BS_2
147,8.0,4e-05,0.694,BS_2
148,9.0,4e-05,0.702,BS_2
149,10.0,4e-05,0.708,BS_2
150,1.0,4e-05,0.047,BS_4
151,2.0,4e-05,0.131,BS_4
152,3.0,4e-05,0.223,BS_4
153,4.0,4e-05,0.289,BS_4
154,5.0,4e-05,0.348,BS_4
155,6.0,4e-05,0.43,BS_4
156,7.0,4e-05,0.502,BS_4
157,8.0,4e-05,0.563,BS_4
158,9.0,4e-05,0.597,BS_4
159,10.0,4e-05,0.627,BS_4
160,1.0,4e-05,0.017,BS_8
161,2.0,4e-05,0.043,BS_8
162,3.0,4e-05,0.107,BS_8
163,4.0,4e-05,0.171,BS_8
164,5.0,4e-05,0.208,BS_8
165,6.0,4e-05,0.239,BS_8
166,7.0,4e-05,0.272,BS_8
167,8.0,4e-05,0.3,BS_8
168,9.0,4e-05,0.335,BS_8
169,10.0,4e-05,0.377,BS_8
