,epoch,LR,mAP,Batch_Size
58,9.0,0.001,0.707,BS_8
59,10.0,0.001,0.708,BS_8
60,1.0,0.005,0.706,BS_2
61,2.0,0.005,0.703,BS_2
62,3.0,0.005,0.723,BS_2
63,4.0,0.005,0.717,BS_2
64,5.0,0.005,0.729,BS_2
65,6.0,0.005,0.75,BS_2
66,7.0,0.005,0.735,BS_2
67,8.0,0.005,0.741,BS_2
68,9.0,0.005,0.766,BS_2
69,10.0,0.005,0.767,BS_2
70,1.0,0.005,0.642,BS_4
71,2.0,0.005,0.692,BS_4
72,3.0,0.005,0.703,BS_4
73,4.0,0.005,0.732,BS_4
74,5.0,0.005,0.743,BS_4
75,6.0,0.005,0.752,BS_4
76,7.0,0.005,0.722,BS_4
77,8.0,0.005,0.753,BS_4
78,9.0,0.005,0.76,BS_4
79,10.0,0.005,0.755,BS_4
80,1.0,0.005,0.374,BS_8
81,2.0,0.005,0.661,BS_8
82,3.0,0.005,0.684,BS_8
83,4.0,0.005,0.695,BS_8
84,5.0,0.005,0.705,BS_8
85,6.0,0.005,0.723,BS_8
86,7.0,0.005,0.738,BS_8
87,8.0,0.005,0.739,BS_8
88,9.0,0.005,0.743,BS_8
89,10.0,0.005,0.746,BS_8
90,1.0,0.01,0.7,BS_2
91,2.0,0.01,0.717,BS_2
92,3.0,0.01,0.746,BS_2
93,4.0,0.01,0.709,BS_2
94,5.0,0.01,0.747,BS_2
95,6.0,0.01,0.749,BS_2
96,7.0,0.01,0.743,BS_2
97,8.0,0.01,0.757,BS_2
98,9.0,0.01,0.765,BS_2
99,10.0,0.01,0.768,BS_2
100,1.0,0.01,0.682,BS_4
101,2.0,0.01,0.705,BS_4
102,3.0,0.01,0.71,BS_4
103,4.0,0.01,0.726,BS_4
104,5.0,0.01,0.747,BS_4
105,6.0,0.01,0.743,BS_4
106,7.0,0.01,0.751,BS_4
107,8.0,0.01,0.748,BS_4
108,9.0,0.01,0.762,BS_4
109,10.0,0.01,0.762,BS_4
110,1.0,0.01,0.514,BS_8
111,2.0,0.01,0.693,BS_8
112,3.0,0.01,0.705,BS_8
113,4.0,0.01,0.715,BS_8
114,5.0,0.01,0.72,BS_8
115,6.0,0.01,0.741,BS_8
116,7.0,0.01,0.741,BS_8
117,8.0,0.01,0.747,BS_8
118,9.0,0.01,0.754,BS_8
119,10.0,0.01,0.753,BS_8
