,Gene,Border,Divide,Uninfect,Infect
127,Plate_04/Testing/008009-9,15,2,37,11
128,Plate_04/Testing/008010-10,21,1,88,9
129,Plate_04/Testing/008010-6,24,2,71,11
130,Plate_04/Testing/008010-7,19,5,61,6
131,Plate_04/Testing/008010-9,21,5,56,4
132,Plate_04/Testing/008012-1,26,3,56,10
133,Plate_04/Testing/008012-2,19,2,38,11
134,Plate_04/Testing/008012-4,22,2,63,9
135,Plate_04/Testing/008012-5,19,3,32,14
136,Plate_04/Testing/008013-10,14,1,26,9
137,Plate_04/Testing/008013-6,12,0,30,7
138,Plate_04/Testing/008013-7,13,0,18,4
139,Plate_04/Testing/008013-8,8,0,19,5
140,Plate_04/Testing/010016-1,14,0,29,24
141,Plate_04/Testing/010016-3,15,3,34,10
142,Plate_04/Testing/010016-4,18,2,27,7
143,Plate_04/Testing/010016-5,18,1,45,12
144,Plate_04/Testing/011012-6,12,1,27,1
145,Plate_04/Testing/011012-7,7,1,23,11
146,Plate_04/Testing/011012-8,19,3,55,13
147,Plate_04/Testing/011012-9,15,0,42,12
148,Plate_04/Testing/013005-1,2,0,13,7
149,Plate_04/Testing/013005-3,1,0,3,0
150,Plate_04/Testing/013005-4,3,0,6,6
151,Plate_04/Testing/013005-5,11,0,9,8
152,Plate_04/Testing/014015-10,0,0,2,6
153,Plate_04/Testing/014015-7,0,0,0,2
154,Plate_04/Testing/014015-8,2,0,5,1
155,Plate_04/Testing/014015-9,2,0,4,4
156,Plate_04/Testing/016007-1,6,1,49,13
157,Plate_04/Testing/016007-3,14,0,44,13
158,Plate_04/Testing/016007-4,8,1,15,3
159,Plate_04/Testing/016007-5,10,0,13,13
160,Plate_07/Testing/001004-10,17,0,33,7
161,Plate_07/Testing/001004-11,26,2,65,2
162,Plate_07/Testing/001004-8,21,1,35,11
163,Plate_07/Testing/001004-9,30,3,69,10
164,Plate_07/Testing/001014-1,11,1,16,5
165,Plate_07/Testing/001014-2,10,1,15,14
166,Plate_07/Testing/001014-3,10,1,21,10
167,Plate_07/Testing/001014-9,8,0,4,6
168,Plate_07/Testing/002013-1,26,2,58,23
169,Plate_07/Testing/002013-3,17,3,50,22
170,Plate_07/Testing/002013-4,22,4,93,13
171,Plate_07/Testing/002013-5,20,1,26,21
172,Plate_07/Testing/002014-1,25,5,100,6
173,Plate_07/Testing/002014-2,30,8,77,10
174,Plate_07/Testing/002014-3,23,5,59,6
175,Plate_07/Testing/002014-5,38,4,79,10
176,Plate_07/Testing/002015-2,25,5,57,11
177,Plate_07/Testing/002015-3,28,3,49,21
178,Plate_07/Testing/002015-4,26,6,57,14
179,Plate_07/Testing/002015-5,29,0,59,13
180,Plate_07/Testing/002016-10,16,2,37,9
181,Plate_07/Testing/002016-6,14,1,54,8
182,Plate_07/Testing/002016-8,8,1,33,9
183,Plate_07/Testing/002016-9,13,4,49,10
184,Plate_07/Testing/002019-4,36,4,102,10
185,Plate_07/Testing/002019-5,23,5,73,7
186,Plate_07/Testing/002019-7,31,3,100,15
187,Plate_07/Testing/002019-8,29,3,109,15
188,Plate_07/Testing/002020-11,18,2,59,8
189,Plate_07/Testing/002020-12,22,0,64,6
190,Plate_07/Testing/002020-8,26,3,71,7
191,Plate_07/Testing/002020-9,28,0,66,5
192,Plate_07/Testing/004009-10,13,0,36,4
193,Plate_07/Testing/004009-11,3,2,17,4
194,Plate_07/Testing/004009-12,8,0,18,3
195,Plate_07/Testing/004009-9,8,0,24,4
196,Plate_07/Testing/005010-1,20,3,29,7
197,Plate_07/Testing/005010-2,11,2,26,10
198,Plate_07/Testing/005010-3,13,1,27,8
199,Plate_07/Testing/005010-4,20,2,47,5
200,Plate_07/Testing/005011-11,13,1,35,6
201,Plate_07/Testing/005011-7,13,2,34,2
202,Plate_07/Testing/005011-8,20,3,43,3
203,Plate_07/Testing/005011-9,19,3,39,2
204,Plate_07/Testing/005015-1,20,4,38,14
205,Plate_07/Testing/005015-11,15,2,52,4
206,Plate_07/Testing/005015-12,17,4,29,9
207,Plate_07/Testing/005015-3,20,2,44,16
208,Plate_07/Testing/006009-12,18,1,23,6
209,Plate_07/Testing/006009-2,25,2,62,16
210,Plate_07/Testing/006009-3,24,8,65,12
211,Plate_07/Testing/006009-4,19,0,37,10
212,Plate_07/Testing/007008-2,7,2,11,6
213,Plate_07/Testing/007008-3,10,1,24,13
214,Plate_07/Testing/007008-4,14,1,42,4
215,Plate_07/Testing/007008-5,14,0,19,6
216,Plate_07/Testing/007014-2,18,2,32,15
217,Plate_07/Testing/007014-3,20,1,60,12
218,Plate_07/Testing/007014-8,26,4,68,12
219,Plate_07/Testing/007014-9,25,1,63,11
220,Plate_07/Testing/007016-11,15,1,30,4
221,Plate_07/Testing/007016-12,9,0,22,4
222,Plate_07/Testing/007016-4,9,1,17,3
223,Plate_07/Testing/007016-8,11,1,38,3
224,Plate_07/Testing/007020-1,13,0,50,9
225,Plate_07/Testing/007020-12,17,0,41,4
226,Plate_07/Testing/007020-3,12,1,21,8
227,Plate_07/Testing/007020-9,12,2,49,7
228,Plate_07/Testing/008016-11,8,0,27,7
229,Plate_07/Testing/008016-2,13,0,43,7
230,Plate_07/Testing/008016-3,16,1,33,6
231,Plate_07/Testing/008016-5,10,0,33,5
232,Plate_07/Testing/010002-1,5,0,10,5
233,Plate_07/Testing/010002-2,10,1,9,8
234,Plate_07/Testing/010002-4,9,0,18,13
235,Plate_07/Testing/010002-7,6,0,15,3
236,Plate_07/Testing/014012-2,9,3,34,6
237,Plate_07/Testing/014012-4,11,0,8,7
238,Plate_07/Testing/014012-7,7,1,15,7
239,Plate_07/Testing/014012-8,17,0,21,9
240,Plate_03/Scramble/001003-1,36,3,95,33
241,Plate_03/Scramble/001003-3,26,6,110,14
242,Plate_03/Scramble/001003-4,32,5,127,19
243,Plate_03/Scramble/001003-5,25,1,125,25
244,Plate_03/Scramble/001022-1,21,6,90,14
245,Plate_03/Scramble/001022-2,30,4,81,19
246,Plate_03/Scramble/001022-3,26,4,106,14
247,Plate_03/Scramble/001022-4,32,2,137,22
248,Plate_03/Scramble/008001-2,33,4,114,26
249,Plate_03/Scramble/008001-3,28,4,109,33
250,Plate_03/Scramble/008001-4,21,8,103,28
251,Plate_03/Scramble/008024-1,34,6,66,30
